Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,2026,1,1,East,Duke,Siena,16
8,2026,1,1,East,Ohio St,TCU,9
5,2026,1,1,East,St Johns,Northern Iowa,12
4,2026,1,1,East,Kansas,California Baptist,13
6,2026,1,1,East,Louisville,South Florida,11
3,2026,1,1,East,Michigan St,North Dakota St,14
7,2026,1,1,East,UCLA,Central Florida,10
2,2026,1,1,East,Connecticut,Furman,15
1,2026,1,2,Midwest,Florida,Lehigh,16
8,2026,1,2,Midwest,Clemson,Iowa,9
5,2026,1,2,Midwest,Vanderbilt,McNeese St,12
4,2026,1,2,Midwest,Nebraska,Troy,13
6,2026,1,2,Midwest,North Carolina,VCU,11
3,2026,1,2,Midwest,Illinois,Pennsylvania,14
7,2026,1,2,Midwest,St Marys,Texas A&M,10
2,2026,1,2,Midwest,Houston,Idaho,15
1,2026,1,3,South,Arizona,Long Island Brooklyn,16
8,2026,1,3,South,Villanova,Utah St,9
5,2026,1,3,South,Wisconsin,High Point,12
4,2026,1,3,South,Arkansas,Hawaii,13
6,2026,1,3,South,BYU,Texas,11
3,2026,1,3,South,Gonzaga,Kennesaw State,14
7,2026,1,3,South,Miami,Missouri,10
2,2026,1,3,South,Purdue,Queens,15
1,2026,1,4,West,Michigan,Howard,16
8,2026,1,4,West,Georgia,St Louis,9
5,2026,1,4,West,Texas Tech,Akron,12
4,2026,1,4,West,Alabama,Hofstra,13
6,2026,1,4,West,Tennessee,SMU,11
3,2026,1,4,West,Virginia,Wright St,14
7,2026,1,4,West,Kentucky,Santa Clara,10
2,2026,1,4,West,Iowa St,Tennessee St,15
