Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,2000,1,1,East,Duke,Lamar,16
8,2000,1,1,East,Kansas,DePaul,9
5,2000,1,1,East,Florida,Butler,12
4,2000,1,1,East,Illinois,Pennsylvania,13
6,2000,1,1,East,Indiana,Pepperdine,11
3,2000,1,1,East,Oklahoma St,Hofstra,14
7,2000,1,1,East,Oregon,Seton Hall,10
2,2000,1,1,East,Temple,Lafayette,15
1,2000,1,2,Midwest,Michigan St,Valparaiso,16
8,2000,1,2,Midwest,Utah,St Louis,9
5,2000,1,2,Midwest,Kentucky,St Bonaventure,12
4,2000,1,2,Midwest,Syracuse,Samford,13
6,2000,1,2,Midwest,UCLA,Ball St,11
3,2000,1,2,Midwest,Maryland,Iona,14
7,2000,1,2,Midwest,Auburn,Creighton,10
2,2000,1,2,Midwest,Iowa St,Central Connecticut St,15
1,2000,1,3,South,Stanford,South Carolina St,16
8,2000,1,3,South,North Carolina,Missouri,9
5,2000,1,3,South,Connecticut,Utah St,12
4,2000,1,3,South,Tennessee,Louisiana Lafayette,13
6,2000,1,3,South,Miami,Arkansas,11
3,2000,1,3,South,Ohio St,Appalachian St,14
7,2000,1,3,South,Tulsa,UNLV,10
2,2000,1,3,South,Cincinnati,UNC Wilmington,15
1,2000,1,4,West,Arizona,Jackson St,16
8,2000,1,4,West,Wisconsin,Fresno St,9
5,2000,1,4,West,Texas,Indiana St,12
4,2000,1,4,West,LSU,Southeast Missouri St,13
6,2000,1,4,West,Purdue,Dayton,11
3,2000,1,4,West,Oklahoma,Winthrop,14
7,2000,1,4,West,Louisville,Gonzaga,10
2,2000,1,4,West,St Johns,Northern Arizona,15
