Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,1986,1,1,East,Duke,Mississippi Valley St,16
8,1986,1,1,East,Old Dominion,West Virginia,9
5,1986,1,1,East,Virginia,DePaul,12
4,1986,1,1,East,Oklahoma,Northeastern,13
6,1986,1,1,East,St Josephs,Richmond,11
3,1986,1,1,East,Indiana,Cleveland St,14
7,1986,1,1,East,Navy,Tulsa,10
2,1986,1,1,East,Syracuse,Brown,15
1,1986,1,2,Midwest,Kansas,North Carolina A&T,16
8,1986,1,2,Midwest,Jacksonville,Temple,9
5,1986,1,2,Midwest,Michigan St,Washington,12
4,1986,1,2,Midwest,Georgetown,Texas Tech,13
6,1986,1,2,Midwest,NC State,Iowa,11
3,1986,1,2,Midwest,Notre Dame,Arkansas Little Rock,14
7,1986,1,2,Midwest,Iowa St,Miami Ohio,10
2,1986,1,2,Midwest,Michigan,Akron,15
1,1986,1,3,Southeast,Kentucky,Davidson,16
8,1986,1,3,Southeast,Western Kentucky,Nebraska,9
5,1986,1,3,Southeast,Alabama,Xavier,12
4,1986,1,3,Southeast,Illinois,Fairfield,13
6,1986,1,3,Southeast,Purdue,LSU,11
3,1986,1,3,Southeast,Memphis,Ball St,14
7,1986,1,3,Southeast,Virginia Tech,Villanova,10
2,1986,1,3,Southeast,Georgia Tech,Marist,15
1,1986,1,4,West,St Johns,Montana St,16
8,1986,1,4,West,Auburn,Arizona,9
5,1986,1,4,West,Maryland,Pepperdine,12
4,1986,1,4,West,UNLV,Louisiana Monroe,13
6,1986,1,4,West,UAB,Missouri,11
3,1986,1,4,West,North Carolina,Utah,14
7,1986,1,4,West,Bradley,UTEP,10
2,1986,1,4,West,Louisville,Drexel,15
