Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,1997,1,1,East,North Carolina,Fairfield,16
8,1997,1,1,East,Indiana,Colorado,9
5,1997,1,1,East,California,Princeton,12
4,1997,1,1,East,Villanova,Long Island Brooklyn,13
6,1997,1,1,East,Louisville,Massachusetts,11
3,1997,1,1,East,New Mexico,Old Dominion,14
7,1997,1,1,East,Wisconsin,Texas,10
2,1997,1,1,East,South Carolina,Coppin St,15
1,1997,1,2,Midwest,Minnesota,Texas State,16
8,1997,1,2,Midwest,Ole Miss,Temple,9
5,1997,1,2,Midwest,Tulsa,Boston University,12
4,1997,1,2,Midwest,Clemson,Miami Ohio,13
6,1997,1,2,Midwest,Iowa St,Illinois St,11
3,1997,1,2,Midwest,Cincinnati,Butler,14
7,1997,1,2,Midwest,Xavier,Vanderbilt,10
2,1997,1,2,Midwest,UCLA,Charleston Southern,15
1,1997,1,3,Southeast,Kansas,Jackson St,16
8,1997,1,3,Southeast,Purdue,Rhode Island,9
5,1997,1,3,Southeast,Maryland,College of Charleston,12
4,1997,1,3,Southeast,Arizona,South Alabama,13
6,1997,1,3,Southeast,Illinois,USC,11
3,1997,1,3,Southeast,Georgia,Chattanooga,14
7,1997,1,3,Southeast,Marquette,Providence,10
2,1997,1,3,Southeast,Duke,Murray St,15
1,1997,1,4,West,Kentucky,Montana,16
8,1997,1,4,West,Iowa,Virginia,9
5,1997,1,4,West,Boston College,Valparaiso,12
4,1997,1,4,West,St Josephs,Pacific,13
6,1997,1,4,West,Stanford,Oklahoma,11
3,1997,1,4,West,Wake Forest,St Marys,14
7,1997,1,4,West,Charlotte,Georgetown,10
2,1997,1,4,West,Utah,Navy,15
