Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,2010,1,1,East,Kentucky,East Tennessee St,16
8,2010,1,1,East,Texas,Wake Forest,9
5,2010,1,1,East,Temple,Cornell,12
4,2010,1,1,East,Wisconsin,Wofford,13
6,2010,1,1,East,Marquette,Washington,11
3,2010,1,1,East,New Mexico,Montana,14
7,2010,1,1,East,Clemson,Missouri,10
2,2010,1,1,East,West Virginia,Morgan St,15
1,2010,1,2,Midwest,Kansas,Lehigh,16
8,2010,1,2,Midwest,UNLV,Northern Iowa,9
5,2010,1,2,Midwest,Michigan St,New Mexico St,12
4,2010,1,2,Midwest,Maryland,Houston,13
6,2010,1,2,Midwest,Tennessee,San Diego St,11
3,2010,1,2,Midwest,Georgetown,Ohio,14
7,2010,1,2,Midwest,Oklahoma St,Georgia Tech,10
2,2010,1,2,Midwest,Ohio St,Santa Barbara,15
1,2010,1,3,South,Duke,Arkansas Pine Bluff,16
8,2010,1,3,South,California,Louisville,9
5,2010,1,3,South,Texas A&M,Utah St,12
4,2010,1,3,South,Purdue,Siena,13
6,2010,1,3,South,Notre Dame,Old Dominion,11
3,2010,1,3,South,Baylor,Sam Houston St,14
7,2010,1,3,South,Richmond,St Marys,10
2,2010,1,3,South,Villanova,Robert Morris,15
1,2010,1,4,West,Syracuse,Vermont,16
8,2010,1,4,West,Gonzaga,Florida St,9
5,2010,1,4,West,Butler,UTEP,12
4,2010,1,4,West,Vanderbilt,Murray St,13
6,2010,1,4,West,Xavier,Minnesota,11
3,2010,1,4,West,Pittsburgh,Oakland,14
7,2010,1,4,West,BYU,Florida,10
2,2010,1,4,West,Kansas St,North Texas,15
