Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,1998,1,1,East,North Carolina,Navy,16
8,1998,1,1,East,Charlotte,Illinois Chicago,9
5,1998,1,1,East,Princeton,UNLV,12
4,1998,1,1,East,Michigan St,Eastern Michigan,13
6,1998,1,1,East,Xavier,Washington,11
3,1998,1,1,East,South Carolina,Richmond,14
7,1998,1,1,East,Indiana,Oklahoma,10
2,1998,1,1,East,Connecticut,Fairleigh Dickinson,15
1,1998,1,2,Midwest,Kansas,Prairie View,16
8,1998,1,2,Midwest,Rhode Island,Murray St,9
5,1998,1,2,Midwest,TCU,Florida St,12
4,1998,1,2,Midwest,Ole Miss,Valparaiso,13
6,1998,1,2,Midwest,Clemson,Western Michigan,11
3,1998,1,2,Midwest,Stanford,College of Charleston,14
7,1998,1,2,Midwest,St Johns,Detroit,10
2,1998,1,2,Midwest,Purdue,Delaware,15
1,1998,1,3,South,Duke,Radford,16
8,1998,1,3,South,Oklahoma St,George Washington,9
5,1998,1,3,South,Syracuse,Iona,12
4,1998,1,3,South,New Mexico,Butler,13
6,1998,1,3,South,UCLA,Miami,11
3,1998,1,3,South,Michigan,Davidson,14
7,1998,1,3,South,Massachusetts,St Louis,10
2,1998,1,3,South,Kentucky,South Carolina St,15
1,1998,1,4,West,Arizona,Nicholls St,16
8,1998,1,4,West,Tennessee,Illinois St,9
5,1998,1,4,West,Illinois,South Alabama,12
4,1998,1,4,West,Maryland,Utah St,13
6,1998,1,4,West,Arkansas,Nebraska,11
3,1998,1,4,West,Utah,San Francisco,14
7,1998,1,4,West,Temple,West Virginia,10
2,1998,1,4,West,Cincinnati,Northern Arizona,15
