,TeamID,Name
211,164,Harvard Crimson
212,115,Hawaii Rainbow Warriors
213,354,Hardin-Simmons Cowboys
214,680,Heidelberg Student Princes
215,403,Hawaii Hilo Vulcans
216,456,Hiwassee College Tigers
217,463,Holy Names Hawks
218,652,Hendrix College Warriors
219,512,Huntingdon Hawks
220,128,Hofstra Pride
221,264,Holy Cross Crusaders
222,495,Hood Blazers
223,6,Houston Cougars
224,293,Houston Baptist Huskies
225,471,Howard Payne Yellow Jackets
226,195,Howard Bison
227,85,High Point Panthers
228,446,Harris-Stowe Hornets
229,410,Huston-Tillotson Rams
230,664,Humboldt State Lumberjacks
231,73,Idaho Vandals
232,72,Idaho State Bengals
233,517,Benedictine Eagles
234,102,Illinois Fighting Illini
235,157,UIC Flames
236,204,Illinois State Redbirds
237,716,Illinois Tech Scarlet Hawks
238,294,Incarnate Word Cardinals
239,93,Indiana Hoosiers
240,207,Indiana State Sycamores
241,492,Indiana-Northwest Red Hawks
242,167,Iona Gaels
243,91,Iowa Hawkeyes
244,110,Iowa State Cyclones
245,315,Purdue Fort Wayne Mastodons
246,317,IUPUI Jaguars
247,521,IU-South Bend Titans
248,771,St. Joseph's (NY-Brooklyn) Bears
249,741,Lindenwood Lions
250,306,Jackson State Tigers
251,428,Johnson & Wales (NC) Wildcats
252,661,Jarvis Christian Bulldogs
253,37,Jacksonville Dolphins
254,238,Jacksonville State Gamecocks
255,126,James Madison Dukes
256,758,Johnson & Wales (RI) Wildcats
257,491,Johnson & Wales (CO) Wildcats
258,657,Johnson & Wales (FL) Wildcats
259,106,Kansas Jayhawks
260,112,Kansas State Wildcats
261,705,Kean Cougars
262,519,Keiser Seahawks
263,42,Kennesaw State Owls
264,632,Columbia International Rams
265,178,Kent State Golden Flashes
266,436,Indiana-Kokomo Cougars
267,435,Kentucky Christian Knights
268,710,Kentucky Wesleyan Panthers
269,478,Louisiana College Wildcats
270,266,Lafayette Leopards
271,303,Lamar Cardinals
272,326,Louisiana-Monroe Warhawks
273,57,La Salle Explorers
274,755,La Verne Leopards
275,117,Long Beach State 49ers
276,620,Lees-McRae Bobcats
277,260,Lehigh Mountain Hawks
278,427,Le Moyne Dolphins
279,724,Lewis & Clark Pioneers
280,84,Liberty Flames
281,460,Life Pacific Warriors
282,712,Lincoln (PA) Lions
283,40,Lipscomb Bisons
284,229,LIU Brooklyn Sharks
285,87,Longwood Lancers
286,24,Louisville Cardinals
287,324,Louisiana-Lafayette Ragin' Cajuns
288,137,Louisiana Tech Bulldogs
289,209,Loyola Chicago Ramblers
290,262,Loyola Maryland Greyhounds
291,343,Loyola Marymount Lions
292,430,Loyola (LA) Wolfpack
293,614,Lenoir-Rhyne Bears
294,269,LSU Tigers
295,704,Northern Vermont Hornets
296,507,Lyon Scots
297,17,Maine Black Bears
298,695,Manchester Spartans
299,171,Manhattan Jaspers
300,176,Marist Red Foxes
301,65,Marquette Golden Eagles
302,606,Mars Hill Lions
303,136,Marshall Thundering Herd
304,92,Maryland Terrapins
305,16,Massachusetts-Lowell River Hawks
306,702,McKendree Bearcats
307,748,McMurry War Hawks
308,299,McNeese State Cowboys
309,193,Maryland Eastern Shore Hawks
310,499,Maine-Machias Clippers
311,645,Menlo Oaks
312,284,Mercer Bears
313,725,Methodist Monarchs
314,640,Medgar Evers Cougars
315,401,Middle Georgia State Knights
316,236,Morehead State Eagles
317,23,Miami (FL) Hurricanes
318,182,Miami (OH) RedHawks
319,95,Michigan Wolverines
320,616,Mid-Atlantic Christian Mustangs
321,447,Mid-America Christian Evangels
322,678,Midway Eagles
323,461,Miles Golden Bears
324,464,Milligan Buffaloes
325,497,Millsaps Majors
326,104,Minnesota Golden Gophers
327,681,Misericordia Cougars
328,274,Ole Miss Rebels
329,768,Mississippi College Choctaws
330,280,Missouri Tigers
331,610,MIT Engineers
332,717,Minnesota-Morris Cougars
333,688,Missouri Baptist Spartans
334,468,Mobile Rams
335,730,Molloy Lions
336,166,Monmouth Hawks
337,74,Montana State Bobcats
338,68,Montana Grizzlies
339,199,Morgan State Bears
340,457,Missouri Science & Technology Miners
341,7,Memphis Tigers
342,426,California Merced Bobcats
343,736,Massachusetts-Boston Beacons
344,278,Mississippi State Bulldogs
345,208,Missouri State Bears
346,97,Michigan State Spartans
347,226,Mount St. Mary's Mountaineers
348,676,Mount Saint Vincent Dolphins
349,308,Mississippi Valley State Delta Devils
350,706,Mount Aloysius Mounties
351,135,Middle Tennessee Blue Raiders
352,687,Montana Tech Orediggers
353,636,Multnomah Lions
354,240,Murray State Racers
355,490,Mayville State Comets
356,396,North Alabama Lions
357,79,Northern Arizona Lumberjacks
358,258,Navy Midshipmen
359,699,Nazareth College Golden Flyers
360,21,North Carolina Tar Heels
361,80,UNC Asheville Bulldogs
362,196,North Carolina A&T Aggies
363,197,North Carolina Central Eagles
364,286,UNCG Spartans
365,75,Northern Colorado Bears
366,33,North Carolina State Wolfpack
367,124,UNCW Seahawks
368,465,North Carolina Wesleyan Battling Bishops
369,25,Notre Dame Fighting Irish
370,71,North Dakota Fighting Hawks
371,318,North Dakota State Bison
372,481,Notre Dame College of Ohio Falcons
373,131,Northeastern Huskies
374,99,Nebraska Cornhuskers
375,316,Omaha Mavericks
376,216,Nevada Wolf Pack
377,608,Newbury Nighthawks
378,36,North Florida Ospreys
379,711,North Greenville Crusaders
380,14,New Hampshire Wildcats
381,175,Niagara Purple Eagles
382,302,Nicholls Colonels
383,186,Northern Illinois Huskies
384,206,UNI Panthers
385,39,NJIT Highlanders
386,154,Northern Kentucky Norse
387,494,Northland LumberJacks
388,214,New Mexico Lobos
389,344,New Mexico State Aggies
390,297,New Orleans Privateers
391,667,North Park Vikings
392,191,Norfolk State Spartans
393,141,North Texas Mean Green
394,100,Northwestern Wildcats
395,480,Northwest University Eagles
396,738,Northwest Nazarene Crusaders
397,501,Northwestern Ohio Racers
398,301,Northwestern State Demons
399,713,NYIT Bears
400,149,Oakland Golden Grizzlies
401,623,Oakland City Mighty Oaks
402,756,Oberlin College Yeomen
403,643,Oglethorpe Stormy Petrels
404,180,Ohio Bobcats
405,98,Ohio State Buckeyes
406,105,Oklahoma Sooners
407,113,Oklahoma State Cowboys
408,138,Old Dominion Monarchs
409,660,Our Lady of the Lake Saints
410,721,SUNY-Oneonta Red Dragons
411,320,Oral Roberts Golden Eagles
412,245,Oregon Ducks
413,252,Oregon State Beavers
414,339,Pacific Tigers
415,732,Palm Beach Atlantic Sailfish
416,496,William Peace Pacers
417,161,Penn Quakers
418,101,Penn State Nittany Lions
419,684,Pensacola Christian College Eagles
420,337,Pepperdine Waves
421,694,Pfeiffer Falcons
422,488,Piedmont Lions
423,405,Pine Manor Gators
424,28,Pittsburgh Panthers
425,340,Portland Pilots
426,419,Portland Bible Wildcats
427,76,Portland State Vikings
428,675,Presentation Saints
429,89,Presbyterian Blue Hose
430,160,Princeton Tigers
431,63,Providence Friars
432,775,Penn State-Wilkes-Barre Nittany Lions
433,747,Purdue Northwest Pride
434,94,Purdue Boilermakers
435,313,Prairie View A&M Panthers
436,682,Quincy Hawks
437,701,Queens College Knights
438,174,Quinnipiac Bobcats
439,86,Radford Highlanders
440,617,Randolph College Wildcats
441,626,Rockford University Regents
442,417,Regent Royals
443,420,Reinhardt Eagles
444,50,Rhode Island Rams
445,146,Rice Owls
446,52,Richmond Spiders
447,173,Rider Broncs
448,612,Rivier Raiders
449,230,Robert Morris Colonials
450,466,College of New Rochelle Blue Angels
451,605,Rochester (MI) Warriors
452,518,Rosemont College Ravens
453,740,Stockton Ospreys
454,415,Rust College Bearcats
455,103,Rutgers Scarlet Knights
456,227,Sacred Heart Pioneers
457,77,Sacramento State Hornets
458,330,South Alabama Jaguars
459,289,Samford Bulldogs
460,341,Santa Clara Broncos
461,729,Salve Regina Seahawks
462,194,Savannah State Tigers
463,267,South Carolina Gamecocks
464,190,South Carolina State Bulldogs
465,442,Schreiner Mountaineers
466,43,USC Upstate Spartans
467,342,San Diego Toreros
468,321,South Dakota Coyotes
469,409,San Diego Christian Hawks
470,314,South Dakota State Jackrabbits
471,212,San Diego State Aztecs
472,347,Seattle Redhawks
473,773,Southeastern Baptist Chargers
474,500,Southeastern University Fire
475,300,Southeastern Louisiana Lions
476,243,Southeast Missouri State Redhawks
477,649,Southeastern Oklahoma State Savage Storm
478,60,Seton Hall Pirates
479,338,San Francisco Dons
480,291,Stephen F. Austin Lumberjacks
481,11,South Florida Bulls
482,666,Shenandoah Hornets
483,692,Shawnee State Bears
484,168,Siena Saints
485,770,Siena Heights Saints
486,205,Southern Illinois Salukis
487,663,Simpson University (CA) Red Hawks
488,244,SIUE Cougars
489,222,San Jose State Spartans
490,761,Skidmore Thoroughbreds
491,295,Sam Houston State Bearkats
492,1,SMU Mustangs
493,479,Sonoma State Seawolves
494,143,Southern Miss Golden Eagles
495,510,Southwest Mustangs
496,305,Southern University Jaguars
497,714,Spalding Golden Eagles
498,470,Spring Hill Badgers
499,254,Stanford Cardinal
500,647,St. Andrews Presbyterian Knights
501,47,St. Bonaventure Bonnies
502,12,Stony Brook Seawolves
503,406,St. Edwards Hilltoppers
504,41,Stetson Hatters
505,228,St. Francis Brooklyn Terriers
506,225,Saint Francis U Red Flash
507,483,St. Francis (IL) Fighting Saints
508,46,Saint Joseph's Hawks
509,67,St. John's Red Storm
510,505,St. Leo Lions
511,54,Saint Louis Billikens
512,485,St. Mary's (MD) Seahawks
513,735,St. Mary's (TX) Rattlers
514,335,Saint Mary's Gaels
515,169,Saint Peter's Peacocks
516,646,SUNY-Canton Roos
517,734,SUNY-Maritime Privateers
518,78,Southern Utah Thunderbirds
519,650,Southwestern Assemblies of God Lions
520,731,Southern Wesleyan Warriors
521,746,Southwest Minnesota State Mustangs
522,653,Southwestern University Pirates
523,653,Southwestern University Pirates
524,30,Syracuse Orange
525,766,Texas A&M-International Dustdevils
526,292,Texas A&M-Corpus Christi Islanders
527,114,TCU Horned Frogs
528,2,Temple Owls
529,277,Tennessee Volunteers
530,235,Tennessee State Tigers
531,234,Tennessee Tech Golden Eagles
532,453,Tiffin Dragons
533,241,UT Martin Skyhawks
534,183,Toledo Rockets
535,727,Tougaloo Bulldogs
536,127,Towson Tigers
537,697,Trevecca Nazarene Trojans
538,484,Trinity (FL) Tigers
539,407,Trinity Baptist Eagles
540,424,Trinity (TX) Tigers
541,333,Troy Trojans
542,477,Truett-McConnell Bears
543,443,Truman State Bulldogs
544,10,Tulane Green Wave
545,5,Tulsa Golden Hurricane
546,665,Tuskegee Golden Tigers
547,109,Texas Longhorns
