Year,Round,Region Number,Region Name,Seed 1,Score 1,Team 1,Team 2,Score 2,Seed 2
1995,2,3,Midwest,11,68,Louisville,Georgia,81,3
1995,2,3,Midwest,7,76,NC State,Penn St,74,2
1995,3,3,Midwest,1,77,Colorado,George Washington,61,4
1995,3,3,Midwest,3,98,Georgia,NC State,79,7
1995,4,3,Midwest,1,79,Colorado,Georgia,82,3
1995,1,4,West,1,90,Vanderbilt,Northern Illinois,44,16
1995,1,4,West,8,74,Memphis,USC,72,9
1995,1,4,West,5,46,San Diego St,Montana,57,12
1995,1,4,West,4,74,Purdue,Portland,59,13
1995,1,4,West,6,73,Seton Hall,Stephen F Austin,63,11
1995,1,4,West,3,89,North Carolina,Western Illinois,48,14
1995,1,4,West,7,95,Southern Mississippi,SMU,96,10
1995,1,4,West,2,88,Stanford,Cal Irvine,55,15
1995,2,4,West,1,95,Vanderbilt,Memphis,68,8
1995,2,4,West,12,51,Montana,Purdue,62,4
1995,2,4,West,6,45,Seton Hall,North Carolina,59,3
1995,2,4,West,10,73,SMU,Stanford,95,2
1995,3,4,West,1,66,Vanderbilt,Purdue,67,4
1995,3,4,West,3,71,North Carolina,Stanford,81,2
1995,4,4,West,4,58,Purdue,Stanford,69,2
1995,5,0,National,1,87,Connecticut,Stanford,60,2
1995,5,0,National,1,73,Tennessee,Georgia,51,3
1995,6,0,National,1,70,Connecticut,Tennessee,64,1
1996,1,1,East,1,97,Tennessee,Radford,56,16
1996,1,1,East,8,75,Memphis,Ohio St,97,9
1996,1,1,East,5,73,Texas,Southwest Missouri St,55,12
1996,1,1,East,4,72,Kansas,Middle Tennessee St,57,13
1996,1,1,East,6,83,George Washington,Maine,67,11
1996,1,1,East,3,100,Virginia,Manhattan,55,14
1996,1,1,East,7,53,Ole Miss,Toledo,65,10
1996,1,1,East,2,83,Old Dominion,Holy Cross,56,15
1996,2,1,East,1,97,Tennessee,Ohio St,65,9
1996,2,1,East,5,70,Texas,Kansas,77,4
1996,2,1,East,6,43,George Washington,Virginia,62,3
1996,2,1,East,10,66,Toledo,Old Dominion,72,2
1996,3,1,East,1,92,Tennessee,Kansas,71,4
1996,3,1,East,3,72,Virginia,Old Dominion,60,2
