Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,2008,1,1,Greensboro,Connecticut,Cornell,16
8,2008,1,1,Greensboro,Texas,Minnesota,9
5,2008,1,1,Greensboro,Old Dominion,Liberty,12
4,2008,1,1,Greensboro,Virginia,Santa Barbara,13
6,2008,1,1,Greensboro,George Washington,Auburn,11
3,2008,1,1,Greensboro,California,San Diego,14
7,2008,1,1,Greensboro,Iowa St,Georgia Tech,10
2,2008,1,1,Greensboro,Rutgers,Robert Morris,15
1,2008,1,2,Neworleans,Maryland,Coppin St,16
8,2008,1,2,Neworleans,Nebraska,Xavier,9
5,2008,1,2,Neworleans,West Virginia,New Mexico,12
4,2008,1,2,Neworleans,Vanderbilt,Montana,13
6,2008,1,2,Neworleans,Pittsburgh,Wyoming,11
3,2008,1,2,Neworleans,Baylor,Fresno St,14
7,2008,1,2,Neworleans,UTEP,Western Kentucky,10
2,2008,1,2,Neworleans,Stanford,Cleveland St,15
1,2008,1,3,Oklahomacity,North Carolina,Bucknell,16
8,2008,1,3,Oklahomacity,Georgia,Iowa,9
5,2008,1,3,Oklahomacity,Kansas St,Chattanooga,12
4,2008,1,3,Oklahomacity,Louisville,Miami Ohio,13
6,2008,1,3,Oklahomacity,Ohio St,Florida St,11
3,2008,1,3,Oklahomacity,Oklahoma St,East Tennessee St,14
7,2008,1,3,Oklahomacity,Marist,DePaul,10
2,2008,1,3,Oklahomacity,LSU,Jackson St,15
1,2008,1,4,Spokane,Tennessee,Oral Roberts,16
8,2008,1,4,Spokane,Utah,Purdue,9
5,2008,1,4,Spokane,Notre Dame,SMU,12
4,2008,1,4,Spokane,Oklahoma,Illinois St,13
6,2008,1,4,Spokane,Arizona St,Temple,11
3,2008,1,4,Spokane,Duke,Murray St,14
7,2008,1,4,Spokane,Syracuse,Hartford,10
2,2008,1,4,Spokane,Texas A&M,Texas San Antonio,15
