Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,2019,1,1,Albany,Louisville,Robert Morris,16
8,2019,1,1,Albany,Michigan,Kansas St,9
5,2019,1,1,Albany,Gonzaga,Arkansas Little Rock,12
4,2019,1,1,Albany,Oregon St,Boise St,13
6,2019,1,1,Albany,UCLA,Tennessee,11
3,2019,1,1,Albany,Maryland,Radford,14
7,2019,1,1,Albany,Rutgers,Buffalo,10
2,2019,1,1,Albany,Connecticut,Towson,15
1,2019,1,2,Chicago,Notre Dame,Bethune-Cookman,16
8,2019,1,2,Chicago,Central Michigan,Michigan St,9
5,2019,1,2,Chicago,Marquette,Rice,12
4,2019,1,2,Chicago,Texas A&M,Wright St,13
6,2019,1,2,Chicago,DePaul,Southwest Missouri St,11
3,2019,1,2,Chicago,Iowa St,New Mexico St,14
7,2019,1,2,Chicago,BYU,Auburn,10
2,2019,1,2,Chicago,Stanford,UC Davis,15
1,2019,1,3,Greensboro,Baylor,Abilene Christian,16
8,2019,1,3,Greensboro,California,North Carolina,9
5,2019,1,3,Greensboro,Florida St,Bucknell,12
4,2019,1,3,Greensboro,South Carolina,Belmont,13
6,2019,1,3,Greensboro,Kentucky,Princeton,11
3,2019,1,3,Greensboro,NC State,Maine,14
7,2019,1,3,Greensboro,Missouri,Drake,10
2,2019,1,3,Greensboro,Iowa,Mercer,15
1,2019,1,4,Portland,Mississippi St,Southern,16
8,2019,1,4,Portland,South Dakota,Clemson,9
5,2019,1,4,Portland,Arizona St,Central Florida,12
4,2019,1,4,Portland,Miami,Florida Gulf Coast,13
6,2019,1,4,Portland,South Dakota St,Quinnipiac,11
3,2019,1,4,Portland,Syracuse,Fordham,14
7,2019,1,4,Portland,Texas,Indiana,10
2,2019,1,4,Portland,Oregon,Portland St,15
