Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,2006,1,1,Albuquerque,Ohio St,Oakland,16
8,2006,1,1,Albuquerque,Boston College,Notre Dame,9
5,2006,1,1,Albuquerque,Utah,Middle Tennessee St,12
4,2006,1,1,Albuquerque,Arizona St,Stephen F Austin,13
6,2006,1,1,Albuquerque,Florida,New Mexico,11
3,2006,1,1,Albuquerque,Baylor,Northern Arizona,14
7,2006,1,1,Albuquerque,St Johns,California,10
2,2006,1,1,Albuquerque,Maryland,Sacred Heart,15
1,2006,1,2,Bridgeport,Duke,Southern,16
8,2006,1,2,Bridgeport,USC,South Florida,9
5,2006,1,2,Bridgeport,Kentucky,Chattanooga,12
4,2006,1,2,Bridgeport,Michigan St,Wisconsin Milwaukee,13
6,2006,1,2,Bridgeport,Temple,Hartford,11
3,2006,1,2,Bridgeport,Georgia,Marist,14
7,2006,1,2,Bridgeport,Virginia Tech,Missouri,10
2,2006,1,2,Bridgeport,Connecticut,Coppin St,15
1,2006,1,3,Cleveland,North Carolina,UC-Riverside,16
8,2006,1,3,Cleveland,Vanderbilt,Louisville,9
5,2006,1,3,Cleveland,UCLA,Bowling Green,12
4,2006,1,3,Cleveland,Purdue,Southwest Missouri St,13
6,2006,1,3,Cleveland,Texas A&M,TCU,11
3,2006,1,3,Cleveland,Rutgers,Dartmouth,14
7,2006,1,3,Cleveland,George Washington,Old Dominion,10
2,2006,1,3,Cleveland,Tennessee,Army,15
1,2006,1,4,Sanantonio,LSU,Florida Atlantic,16
8,2006,1,4,Sanantonio,Minnesota,Washington,9
5,2006,1,4,Sanantonio,NC State,Tulsa,12
4,2006,1,4,Sanantonio,DePaul,Liberty,13
6,2006,1,4,Sanantonio,Florida St,Louisiana Tech,11
3,2006,1,4,Sanantonio,Stanford,Southeast Missouri St,14
7,2006,1,4,Sanantonio,BYU,Iowa,10
2,2006,1,4,Sanantonio,Oklahoma,Pepperdine,15
