Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,2021,1,1,Alamo,Stanford,Utah Valley,16
8,2021,1,1,Alamo,Oklahoma St,Wake Forest,9
5,2021,1,1,Alamo,Southwest Missouri St,UC Davis,12
4,2021,1,1,Alamo,Arkansas,Wright St,13
6,2021,1,1,Alamo,Oregon,South Dakota,11
3,2021,1,1,Alamo,Georgia,Drexel,14
7,2021,1,1,Alamo,Northwestern,Central Florida,10
2,2021,1,1,Alamo,Louisville,Marist,15
1,2021,1,2,Hemisfair,South Carolina,Mercer,16
8,2021,1,2,Hemisfair,Oregon St,Florida St,9
5,2021,1,2,Hemisfair,Georgia Tech,Stephen F Austin,12
4,2021,1,2,Hemisfair,West Virginia,Lehigh,13
6,2021,1,2,Hemisfair,Texas,Bradley,11
3,2021,1,2,Hemisfair,UCLA,Wyoming,14
7,2021,1,2,Hemisfair,Alabama,North Carolina,10
2,2021,1,2,Hemisfair,Maryland,Mount St Marys,15
1,2021,1,3,Mercado,NC State,North Carolina A&T,16
8,2021,1,3,Mercado,South Florida,Washington St,9
5,2021,1,3,Mercado,Gonzaga,Belmont,12
4,2021,1,3,Mercado,Indiana,VCU,13
6,2021,1,3,Mercado,Rutgers,BYU,11
3,2021,1,3,Mercado,Arizona,Stony Brook,14
7,2021,1,3,Mercado,Iowa St,Michigan St,10
2,2021,1,3,Mercado,Texas A&M,Troy,15
1,2021,1,4,Riverwalk,Connecticut,High Point,16
8,2021,1,4,Riverwalk,Syracuse,South Dakota St,9
5,2021,1,4,Riverwalk,Iowa,Central Michigan,12
4,2021,1,4,Riverwalk,Kentucky,Idaho St,13
6,2021,1,4,Riverwalk,Michigan,Florida Gulf Coast,11
3,2021,1,4,Riverwalk,Tennessee,Middle Tennessee St,14
7,2021,1,4,Riverwalk,Virginia Tech,Marquette,10
2,2021,1,4,Riverwalk,Baylor,Jackson St,15
