Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,2014,1,1,Lincoln,Connecticut,Prairie View,16
8,2014,1,1,Lincoln,Georgia,St Josephs,9
5,2014,1,1,Lincoln,NC State,BYU,12
4,2014,1,1,Lincoln,Nebraska,Fresno St,13
6,2014,1,1,Lincoln,Gonzaga,James Madison,11
3,2014,1,1,Lincoln,Texas A&M,North Dakota,14
7,2014,1,1,Lincoln,DePaul,Oklahoma,10
2,2014,1,1,Lincoln,Duke,Winthrop,15
1,2014,1,2,Louisville,Tennessee,Northwestern St,16
8,2014,1,2,Louisville,St Johns,USC,9
5,2014,1,2,Louisville,Texas,Pennsylvania,12
4,2014,1,2,Louisville,Maryland,Army,13
6,2014,1,2,Louisville,Iowa,Marist,11
3,2014,1,2,Louisville,Louisville,Idaho,14
7,2014,1,2,Louisville,LSU,Georgia Tech,10
2,2014,1,2,Louisville,West Virginia,Albany,15
1,2014,1,3,Southbend,Notre Dame,Robert Morris,16
8,2014,1,3,Southbend,Vanderbilt,Arizona St,9
5,2014,1,3,Southbend,Oklahoma St,Florida Gulf Coast,12
4,2014,1,3,Southbend,Purdue,Akron,13
6,2014,1,3,Southbend,Syracuse,Chattanooga,11
3,2014,1,3,Southbend,Kentucky,Wright St,14
7,2014,1,3,Southbend,California,Fordham,10
2,2014,1,3,Southbend,Baylor,Western Kentucky,15
1,2014,1,4,Stanford,South Carolina,Cal St Northridge,16
8,2014,1,4,Stanford,Middle Tennessee St,Oregon St,9
5,2014,1,4,Stanford,Michigan St,Hampton,12
4,2014,1,4,Stanford,North Carolina,UT-Martin,13
6,2014,1,4,Stanford,Dayton,Florida,11
3,2014,1,4,Stanford,Penn St,Wichita St,14
7,2014,1,4,Stanford,Iowa St,Florida St,10
2,2014,1,4,Stanford,Stanford,South Dakota,15
