Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,2024,1,1,Albany1,South Carolina,Presbyterian,16
8,2024,1,1,Albany1,North Carolina,Michigan St,9
5,2024,1,1,Albany1,Oklahoma,Florida Gulf Coast,12
4,2024,1,1,Albany1,Indiana,Fairfield,13
6,2024,1,1,Albany1,Nebraska,Texas A&M,11
3,2024,1,1,Albany1,Oregon St,Eastern Washington,14
7,2024,1,1,Albany1,Ole Miss,Marquette,10
2,2024,1,1,Albany1,Notre Dame,Kent St,15
1,2024,1,2,Albany2,Iowa,Holy Cross,16
8,2024,1,2,Albany2,West Virginia,Princeton,9
5,2024,1,2,Albany2,Colorado,Drake,12
4,2024,1,2,Albany2,Kansas St,Portland,13
6,2024,1,2,Albany2,Louisville,Middle Tennessee St,11
3,2024,1,2,Albany2,LSU,Rice,14
7,2024,1,2,Albany2,Creighton,UNLV,10
2,2024,1,2,Albany2,UCLA,California Baptist,15
1,2024,1,3,Portland3,USC,Texas A&M Corpus Christi,16
8,2024,1,3,Portland3,Kansas,Michigan,9
5,2024,1,3,Portland3,Baylor,Vanderbilt,12
4,2024,1,3,Portland3,Virginia Tech,Marshall,13
6,2024,1,3,Portland3,Syracuse,Arizona,11
3,2024,1,3,Portland3,Connecticut,Jackson St,14
7,2024,1,3,Portland3,Duke,Richmond,10
2,2024,1,3,Portland3,Ohio St,Maine,15
1,2024,1,4,Portland4,Texas,Drexel,16
8,2024,1,4,Portland4,Alabama,Florida St,9
5,2024,1,4,Portland4,Utah,South Dakota St,12
4,2024,1,4,Portland4,Gonzaga,Cal Irvine,13
6,2024,1,4,Portland4,Tennessee,Wisconsin Green Bay,11
3,2024,1,4,Portland4,NC State,Chattanooga,14
7,2024,1,4,Portland4,Iowa St,Maryland,10
2,2024,1,4,Portland4,Stanford,Norfolk St,15
