Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,1997,1,1,East,North Carolina,Harvard,16
8,1997,1,1,East,Michigan St,Portland,9
5,1997,1,1,East,George Washington,Northwestern,12
4,1997,1,1,East,Tulane,Santa Barbara,13
6,1997,1,1,East,Notre Dame,Memphis,11
3,1997,1,1,East,Texas,Southwest Texas St,14
7,1997,1,1,East,St Josephs,Kansas St,10
2,1997,1,1,East,Alabama,St Francis,15
1,1997,1,2,Mideast,Old Dominion,Liberty,16
8,1997,1,2,Mideast,Purdue,Maryland,9
5,1997,1,2,Mideast,Clemson,Marquette,12
4,1997,1,2,Mideast,LSU,Maine,13
6,1997,1,2,Mideast,USC,San Francisco,11
3,1997,1,2,Mideast,Florida,Florida International,14
7,1997,1,2,Mideast,Auburn,Louisville,10
2,1997,1,2,Mideast,Louisiana Tech,St Peters,15
1,1997,1,3,Midwest,Connecticut,Lehigh,16
8,1997,1,3,Midwest,NC State,Iowa,9
5,1997,1,3,Midwest,Duke,DePaul,12
4,1997,1,3,Midwest,Illinois,Drake,13
6,1997,1,3,Midwest,Oregon,San Diego St,11
3,1997,1,3,Midwest,Tennessee,Grambling,14
7,1997,1,3,Midwest,Stephen F Austin,Toledo,10
2,1997,1,3,Midwest,Colorado,Marshall,15
1,1997,1,4,West,Stanford,Howard,16
8,1997,1,4,West,Texas Tech,Montana,9
5,1997,1,4,West,Utah,Iowa St,12
4,1997,1,4,West,Virginia,Troy,13
6,1997,1,4,West,Vanderbilt,Washington,11
3,1997,1,4,West,Kansas,Detroit,14
7,1997,1,4,West,Arizona,Western Kentucky,10
2,1997,1,4,West,Georgia,Eastern Kentucky,15
