Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,2016,1,1,Bridgeport,Connecticut,Robert Morris,16
8,2016,1,1,Bridgeport,Seton Hall,Duquesne,9
5,2016,1,1,Bridgeport,Mississippi St,Chattanooga,12
4,2016,1,1,Bridgeport,Michigan St,Belmont,13
6,2016,1,1,Bridgeport,South Florida,Colorado St,11
3,2016,1,1,Bridgeport,UCLA,Hawaii,14
7,2016,1,1,Bridgeport,BYU,Missouri,10
2,2016,1,1,Bridgeport,Texas,Alabama St,15
1,2016,1,2,Dallas,Baylor,Idaho,16
8,2016,1,2,Dallas,St Johns,Auburn,9
5,2016,1,2,Dallas,Florida St,Middle Tennessee St,12
4,2016,1,2,Dallas,Texas A&M,Southwest Missouri St,13
6,2016,1,2,Dallas,DePaul,James Madison,11
3,2016,1,2,Dallas,Louisville,Central Arkansas,14
7,2016,1,2,Dallas,Oklahoma St,St Bonaventure,10
2,2016,1,2,Dallas,Oregon St,Troy,15
1,2016,1,3,Lexington,Notre Dame,North Carolina A&T,16
8,2016,1,3,Lexington,Georgia,Indiana,9
5,2016,1,3,Lexington,Miami,South Dakota St,12
4,2016,1,3,Lexington,Stanford,San Francisco,13
6,2016,1,3,Lexington,Oklahoma,Purdue,11
3,2016,1,3,Lexington,Kentucky,UNC Asheville,14
7,2016,1,3,Lexington,Washington,Pennsylvania,10
2,2016,1,3,Lexington,Maryland,Iona,15
1,2016,1,4,Siouxfalls,South Carolina,Jacksonville,16
8,2016,1,4,Siouxfalls,George Washington,Kansas St,9
5,2016,1,4,Siouxfalls,Florida,Albany,12
4,2016,1,4,Siouxfalls,Syracuse,Army,13
6,2016,1,4,Siouxfalls,West Virginia,Princeton,11
3,2016,1,4,Siouxfalls,Ohio St,Buffalo,14
7,2016,1,4,Siouxfalls,Tennessee,Wisconsin Green Bay,10
2,2016,1,4,Siouxfalls,Arizona St,New Mexico St,15
