Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,2001,1,1,East,Connecticut,Long Island Brooklyn,16
8,2001,1,1,East,Maryland,Colorado St,9
5,2001,1,1,East,Villanova,Drake,12
4,2001,1,1,East,NC State,Delaware,13
6,2001,1,1,East,Penn St,TCU,11
3,2001,1,1,East,Louisiana Tech,Georgia St,14
7,2001,1,1,East,Wisconsin,Missouri,10
2,2001,1,1,East,Georgia,Liberty,15
1,2001,1,2,Mideast,Tennessee,Austin Peay,16
8,2001,1,2,Mideast,Texas,St Marys,9
5,2001,1,2,Mideast,Clemson,Chattanooga,12
4,2001,1,2,Mideast,Xavier,Louisville,13
6,2001,1,2,Mideast,LSU,Arizona St,11
3,2001,1,2,Mideast,Purdue,Santa Barbara,14
7,2001,1,2,Mideast,Virginia Tech,Denver,10
2,2001,1,2,Mideast,Texas Tech,Pennsylvania,15
1,2001,1,3,Midwest,Notre Dame,Alcorn St,16
8,2001,1,3,Midwest,Michigan,Virginia,9
5,2001,1,3,Midwest,Utah,Fairfield,12
4,2001,1,3,Midwest,Iowa,Oregon,13
6,2001,1,3,Midwest,Colorado,Siena,11
3,2001,1,3,Midwest,Vanderbilt,Idaho St,14
7,2001,1,3,Midwest,Florida St,Tulane,10
2,2001,1,3,Midwest,Iowa St,Howard,15
1,2001,1,4,West,Duke,Wisconsin Milwaukee,16
8,2001,1,4,West,Baylor,Arkansas,9
5,2001,1,4,West,Southwest Missouri St,Toledo,12
4,2001,1,4,West,Rutgers,Stephen F Austin,13
6,2001,1,4,West,Washington,Old Dominion,11
3,2001,1,4,West,Florida,Holy Cross,14
7,2001,1,4,West,George Washington,Stanford,10
2,2001,1,4,West,Oklahoma,Oral Roberts,15
