Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,1995,1,1,East,Connecticut,Maine,16
8,1995,1,1,East,Virginia Tech,St Josephs,9
5,1995,1,1,East,Duke,Oklahoma St,12
4,1995,1,1,East,Alabama,Mount St Marys,13
6,1995,1,1,East,Florida,Radford,11
3,1995,1,1,East,Virginia,Dartmouth,14
7,1995,1,1,East,Oklahoma,Loyola Maryland,10
2,1995,1,1,East,Louisiana Tech,Furman,15
1,1995,1,2,Mideast,Tennessee,Florida A&M,16
8,1995,1,2,Mideast,Old Dominion,Florida International,9
5,1995,1,2,Mideast,Oregon St,Tennessee St,12
4,1995,1,2,Mideast,Western Kentucky,Toledo,13
6,1995,1,2,Mideast,Arkansas,San Francisco,11
3,1995,1,2,Mideast,Washington,Ohio,14
7,1995,1,2,Mideast,Kansas,Wisconsin,10
2,1995,1,2,Mideast,Texas Tech,Tulane,15
1,1995,1,3,Midwest,Colorado,Holy Cross,16
8,1995,1,3,Midwest,Utah,Southwest Missouri St,9
5,1995,1,3,Midwest,Drake,Ole Miss,12
4,1995,1,3,Midwest,George Washington,DePaul,13
6,1995,1,3,Midwest,Oregon,Louisville,11
3,1995,1,3,Midwest,Georgia,Indiana,14
7,1995,1,3,Midwest,NC State,Marquette,10
2,1995,1,3,Midwest,Penn St,Jackson St,15
1,1995,1,4,West,Vanderbilt,Northern Illinois,16
8,1995,1,4,West,Memphis,USC,9
5,1995,1,4,West,San Diego St,Montana,12
4,1995,1,4,West,Purdue,Portland,13
6,1995,1,4,West,Seton Hall,Stephen F Austin,11
3,1995,1,4,West,North Carolina,Western Illinois,14
7,1995,1,4,West,Southern Mississippi,SMU,10
2,1995,1,4,West,Stanford,Cal Irvine,15
