Rk,School,City State,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
442,Valparaiso,Valparaiso Indiana,1918,2024,89,2292,1190,1102,.519,-4.23,-1.45,0,14,10,9,0,0
443,Vanderbilt,Nashville Tennessee,1901,2024,122,2934,1676,1258,.571,8.20,5.11,11,3,3,15,0,0
444,Vermont,Burlington Vermont,1921,2024,69,1895,1039,856,.548,-9.28,-7.00,0,15,10,10,0,0
445,Villanova,Villanova Pennsylvania,1921,2024,104,2876,1886,990,.656,10.54,5.90,26,14,8,41,7,3
446,Virginia,Charlottesville Virginia,1906,2024,119,2958,1742,1215,.589,7.11,5.61,16,12,3,26,3,1
447,Virginia Commonwealth,Richmond Virginia,1974,2024,51,1580,1028,551,.651,5.63,0.95,3,11,10,19,1,0
448,Virginia Military Institute,Lexington Virginia,1909,2024,116,2584,946,1638,.366,-12.81,-4.65,1,2,3,3,0,0
449,Virginia Tech,Blacksburg Virginia,1909,2024,116,2842,1556,1286,.548,4.26,1.79,3,2,2,13,0,0
450,Wabash Little Giants,Crawfordsville Indiana,1897,1925,29,407,301,106,.740,,,0,0,0,0,0,0
451,Wagner,Staten Island New York,1966,2024,52,1488,731,757,.491,-9.60,-7.54,0,4,2,2,0,0
452,Wake Forest,Winston-Salem North Carolina,1906,2024,118,2929,1621,1308,.553,8.10,6.22,17,4,5,23,1,0
453,Washburn Ichabods,Topeka Kansas,1906,1941,35,557,270,283,.488,,,0,0,0,0,0,0
454,Washington,Seattle Washington,1896,2024,123,3137,1867,1270,.595,7.45,6.18,8,12,3,17,1,0
455,Washington & Jefferson Presidents,Washington Pennsylvania,1913,1944,10,128,73,55,.570,,,0,0,0,0,0,0
456,Washington & Lee Generals,Lexington Virginia,1907,1959,51,905,472,432,.522,-15.24,-5.60,0,3,2,0,0,0
457,Washington (MO) Bears,St. Louis Missouri,1905,1960,52,921,433,488,.470,-5.22,-1.75,0,2,0,0,0,0
458,Washington College Shoremen,Chestertown Maryland,1913,1925,13,151,109,42,.722,,,0,0,0,0,0,0
459,Washington State,Pullman Washington,1902,2024,123,3285,1687,1598,.514,3.41,4.97,4,2,0,7,1,0
460,Wayne State (MI) Warriors,Detroit Michigan,1928,1950,5,104,47,57,.452,,,0,0,0,0,0,0
461,Weber State,Ogden Utah,1964,2024,61,1801,1127,674,.626,0.17,-2.68,1,22,10,16,0,0
462,Wesleyan (CT) Cardinals,Middletown Connecticut,1896,1913,13,171,97,74,.567,,,0,0,0,0,0,0
463,West Chester Golden Rams,West Chester Pennsylvania,1899,1982,10,244,86,158,.352,-17.61,-8.15,0,1,0,0,0,0
464,West Texas A&M Buffaloes,Canyon Texas,1921,1986,54,1275,707,568,.555,-6.34,-1.64,0,4,0,1,0,0
465,West Virginia,Morgantown West Virginia,1904,2024,115,3030,1855,1175,.612,7.45,3.07,19,16,13,31,2,0
466,Western Carolina,Cullowhee North Carolina,1977,2024,48,1420,631,789,.444,-8.28,-3.71,0,3,1,1,0,0
467,Western Colorado Mountaineers,Gunnison Colorado,1924,1937,14,189,88,101,.466,,,0,0,0,0,0,0
468,Western Illinois,Macomb Illinois,1982,2024,43,1233,519,714,.421,-8.63,-3.84,0,2,1,0,0,0
469,Western Kentucky,Bowling Green Kentucky,1922,2024,103,2875,1891,984,.658,3.28,-0.13,11,29,20,24,1,0
470,Western Michigan,Kalamazoo Michigan,1914,2024,111,2695,1380,1314,.512,-3.13,-0.22,1,11,2,4,0,0
471,Westminster (MO) Blue Jays,Fulton Missouri,1920,1920,1,17,17,0,1.000,,,0,0,0,0,0,0
472,Westminster (PA) Titans,New Wilmington Pennsylvania,1898,1935,21,294,210,84,.714,,,0,0,0,0,0,0
473,Wheaton (IL) Thunder,Wheaton Illinois,1902,1905,4,57,39,17,.696,,,0,0,0,0,0,0
474,Whittier Poets,Whittier California,1909,1915,3,42,38,3,.927,,,0,0,0,0,0,0
475,Wichita State,Wichita Kansas,1906,2024,117,2936,1672,1264,.569,6.08,3.36,8,12,4,16,2,0
476,Widener Pride,Chester Pennsylvania,1899,1909,5,26,20,6,.769,,,0,0,0,0,0,0
