Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,2009,1,1,Midwest,Louisville,Morehead St,16
8,2009,1,1,Midwest,Ohio St,Siena,9
5,2009,1,1,Midwest,Utah,Arizona,12
4,2009,1,1,Midwest,Wake Forest,Cleveland St,13
6,2009,1,1,Midwest,West Virginia,Dayton,11
3,2009,1,1,Midwest,Kansas,North Dakota St,14
7,2009,1,1,Midwest,Boston College,USC,10
2,2009,1,1,Midwest,Michigan St,Robert Morris,15
1,2009,1,2,West,Connecticut,Chattanooga,16
8,2009,1,2,West,BYU,Texas A&M,9
5,2009,1,2,West,Purdue,Northern Iowa,12
4,2009,1,2,West,Washington,Mississippi St,13
6,2009,1,2,West,Marquette,Utah St,11
3,2009,1,2,West,Missouri,Cornell,14
7,2009,1,2,West,California,Maryland,10
2,2009,1,2,West,Memphis,Cal St Northridge,15
1,2009,1,3,East,Pittsburgh,East Tennessee St,16
8,2009,1,3,East,Oklahoma St,Tennessee,9
5,2009,1,3,East,Florida St,Wisconsin,12
4,2009,1,3,East,Xavier,Portland St,13
6,2009,1,3,East,UCLA,VCU,11
3,2009,1,3,East,Villanova,American,14
7,2009,1,3,East,Texas,Minnesota,10
2,2009,1,3,East,Duke,Binghamton,15
1,2009,1,4,South,North Carolina,Radford,16
8,2009,1,4,South,LSU,Butler,9
5,2009,1,4,South,Illinois,Western Kentucky,12
4,2009,1,4,South,Gonzaga,Akron,13
6,2009,1,4,South,Arizona St,Temple,11
3,2009,1,4,South,Syracuse,Stephen F Austin,14
7,2009,1,4,South,Clemson,Michigan,10
2,2009,1,4,South,Oklahoma,Morgan St,15
