Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,2019,1,1,East,Duke,North Dakota St,16
8,2019,1,1,East,VCU,Central Florida,9
5,2019,1,1,East,Mississippi St,Liberty,12
4,2019,1,1,East,Virginia Tech,St Louis,13
6,2019,1,1,East,Maryland,Belmont,11
3,2019,1,1,East,LSU,Yale,14
7,2019,1,1,East,Louisville,Minnesota,10
2,2019,1,1,East,Michigan St,Bradley,15
1,2019,1,2,West,Gonzaga,Fairleigh Dickinson,16
8,2019,1,2,West,Syracuse,Baylor,9
5,2019,1,2,West,Marquette,Murray St,12
4,2019,1,2,West,Florida St,Vermont,13
6,2019,1,2,West,Buffalo,Arizona St,11
3,2019,1,2,West,Texas Tech,Northern Kentucky,14
7,2019,1,2,West,Nevada,Florida,10
2,2019,1,2,West,Michigan,Montana,15
1,2019,1,3,South,Virginia,Gardner Webb,16
8,2019,1,3,South,Ole Miss,Oklahoma,9
5,2019,1,3,South,Wisconsin,Oregon,12
4,2019,1,3,South,Kansas St,UC Irvine,13
6,2019,1,3,South,Villanova,St Marys,11
3,2019,1,3,South,Purdue,Old Dominion,14
7,2019,1,3,South,Cincinnati,Iowa,10
2,2019,1,3,South,Tennessee,Colgate,15
1,2019,1,4,Midwest,North Carolina,Iona,16
8,2019,1,4,Midwest,Utah St,Washington,9
5,2019,1,4,Midwest,Auburn,New Mexico St,12
4,2019,1,4,Midwest,Kansas,Northeastern,13
6,2019,1,4,Midwest,Iowa St,Ohio St,11
3,2019,1,4,Midwest,Houston,Georgia St,14
7,2019,1,4,Midwest,Wofford,Seton Hall,10
2,2019,1,4,Midwest,Kentucky,Abilene Christian,15
