Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,2018,1,1,South,Virginia,UMBC,16
8,2018,1,1,South,Creighton,Kansas St,9
5,2018,1,1,South,Kentucky,Davidson,12
4,2018,1,1,South,Arizona,Buffalo,13
6,2018,1,1,South,Miami,Loyola Chicago,11
3,2018,1,1,South,Tennessee,Wright St,14
7,2018,1,1,South,Nevada,Texas,10
2,2018,1,1,South,Cincinnati,Georgia St,15
1,2018,1,2,West,Xavier,Texas Southern,16
8,2018,1,2,West,Missouri,Florida St,9
5,2018,1,2,West,Ohio St,South Dakota St,12
4,2018,1,2,West,Gonzaga,UNC Greensboro,13
6,2018,1,2,West,Houston,San Diego St,11
3,2018,1,2,West,Michigan,Montana,14
7,2018,1,2,West,Texas A&M,Providence,10
2,2018,1,2,West,North Carolina,Lipscomb,15
1,2018,1,3,East,Villanova,Radford,16
8,2018,1,3,East,Virginia Tech,Alabama,9
5,2018,1,3,East,West Virginia,Murray St,12
4,2018,1,3,East,Wichita St,Marshall,13
6,2018,1,3,East,Florida,St Bonaventure,11
3,2018,1,3,East,Texas Tech,Stephen F Austin,14
7,2018,1,3,East,Arkansas,Butler,10
2,2018,1,3,East,Purdue,Cal St Fullerton,15
1,2018,1,4,Midwest,Kansas,Pennsylvania,16
8,2018,1,4,Midwest,Seton Hall,NC State,9
5,2018,1,4,Midwest,Clemson,New Mexico St,12
4,2018,1,4,Midwest,Auburn,College of Charleston,13
6,2018,1,4,Midwest,TCU,Syracuse,11
3,2018,1,4,Midwest,Michigan St,Bucknell,14
7,2018,1,4,Midwest,Rhode Island,Oklahoma,10
2,2018,1,4,Midwest,Duke,Iona,15
