Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,1993,1,1,Southeast,Kentucky,Rider,16
8,1993,1,1,Southeast,Utah,Pittsburgh,9
5,1993,1,1,Southeast,Wake Forest,Chattanooga,12
4,1993,1,1,Southeast,Iowa,Louisiana Monroe,13
6,1993,1,1,Southeast,Kansas St,Tulane,11
3,1993,1,1,Southeast,Florida St,Evansville,14
7,1993,1,1,Southeast,Western Kentucky,Memphis,10
2,1993,1,1,Southeast,Seton Hall,Tennessee St,15
1,1993,1,2,West,Michigan,Coastal Carolina,16
8,1993,1,2,West,Iowa St,UCLA,9
5,1993,1,2,West,New Mexico,George Washington,12
4,1993,1,2,West,Georgia Tech,Southern,13
6,1993,1,2,West,Illinois,Long Beach St,11
3,1993,1,2,West,Vanderbilt,Boise St,14
7,1993,1,2,West,Temple,Missouri,10
2,1993,1,2,West,Arizona,Santa Clara,15
1,1993,1,3,East,North Carolina,East Carolina,16
8,1993,1,3,East,Rhode Island,Purdue,9
5,1993,1,3,East,St Johns,Texas Tech,12
4,1993,1,3,East,Arkansas,Holy Cross,13
6,1993,1,3,East,Virginia,Manhattan,11
3,1993,1,3,East,Massachusetts,Pennsylvania,14
7,1993,1,3,East,New Mexico St,Nebraska,10
2,1993,1,3,East,Cincinnati,Coppin St,15
1,1993,1,4,Midwest,Indiana,Wright St,16
8,1993,1,4,Midwest,New Orleans,Xavier,9
5,1993,1,4,Midwest,Oklahoma St,Marquette,12
4,1993,1,4,Midwest,Louisville,Delaware,13
6,1993,1,4,Midwest,California,LSU,11
3,1993,1,4,Midwest,Duke,Southern Illinois,14
7,1993,1,4,Midwest,BYU,SMU,10
2,1993,1,4,Midwest,Kansas,Ball St,15
