Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,1988,1,1,Midwest,Purdue,Fairleigh Dickinson,16
8,1988,1,1,Midwest,Baylor,Memphis,9
5,1988,1,1,Midwest,DePaul,Wichita St,12
4,1988,1,1,Midwest,Kansas St,La Salle,13
6,1988,1,1,Midwest,Kansas,Xavier,11
3,1988,1,1,Midwest,NC State,Murray St,14
7,1988,1,1,Midwest,Vanderbilt,Utah St,10
2,1988,1,1,Midwest,Pittsburgh,Eastern Michigan,15
1,1988,1,2,East,Temple,Lehigh,16
8,1988,1,2,East,Georgetown,LSU,9
5,1988,1,2,East,Georgia Tech,Iowa St,12
4,1988,1,2,East,Indiana,Richmond,13
6,1988,1,2,East,Missouri,Rhode Island,11
3,1988,1,2,East,Syracuse,North Carolina A&T,14
7,1988,1,2,East,SMU,Notre Dame,10
2,1988,1,2,East,Duke,Boston University,15
1,1988,1,3,West,Arizona,Cornell,16
8,1988,1,3,West,Seton Hall,UTEP,9
5,1988,1,3,West,Iowa,Florida St,12
4,1988,1,3,West,UNLV,Southwest Missouri St,13
6,1988,1,3,West,Florida,St Johns,11
3,1988,1,3,West,Michigan,Boise St,14
7,1988,1,3,West,Wyoming,Loyola Marymount,10
2,1988,1,3,West,North Carolina,North Texas St,15
1,1988,1,4,Southeast,Oklahoma,Chattanooga,16
8,1988,1,4,Southeast,Auburn,Bradley,9
5,1988,1,4,Southeast,Louisville,Oregon St,12
4,1988,1,4,Southeast,BYU,Charlotte,13
6,1988,1,4,Southeast,Villanova,Arkansas,11
3,1988,1,4,Southeast,Illinois,Texas San Antonio,14
7,1988,1,4,Southeast,Maryland,Santa Barbara,10
2,1988,1,4,Southeast,Kentucky,Southern,15
